Date,Open,High,Low,Close
03-01-00,236,243.65,234.25,243.65
04-01-00,243.65,262,238.85,259.1
05-01-00,249,264.7,245,248.45
06-01-00,252,268,252,261
07-01-00,261.5,279.9,255,273.3
10-01-00,280,289.85,265.2,269.5
11-01-00,266.8,267,247.95,247.95
12-01-00,244,251.5,236.6,244.75
13-01-00,246,255.6,243.1,244.5
14-01-00,245,245,238.1,239.2
17-01-00,244.4,251,232.3,235.9
18-01-00,236.9,241,233.75,236.45
19-01-00,240.9,247.5,240,243.95
20-01-00,243,244.8,236.25,237.7
21-01-00,238.75,239.75,235.5,237.45
24-01-00,236.65,240.35,227.1,228.3
25-01-00,226,227.9,222.6,224.85
27-01-00,229,235.5,228,230.15
28-01-00,232.7,248.6,232.7,248.5
31-01-00,246,256.75,242.5,244.7
01-02-00,245,250.7,242.75,246.5
02-02-00,257,258.7,246,247.5
03-02-00,250,264.9,248.6,258.8
04-02-00,260,264.75,254.5,255.9
07-02-00,258.7,258.7,243.6,247.4
08-02-00,247,248.5,240.8,242.3
09-02-00,254,254,243.15,245.4
10-02-00,242.2,250.95,242.2,248.8
11-02-00,251,257.7,246.6,250.1
14-02-00,252,270.15,251.35,266.6
15-02-00,271.9,272,247,253.9
16-02-00,257,257,247.5,250
17-02-00,248,253.8,247,250
18-02-00,251.75,252.8,239,241.1
21-02-00,243,248.9,240,244.2
22-02-00,245,246.4,234,237.1
23-02-00,244.9,248,232,234.05
24-02-00,236,247,234.25,243.35
25-02-00,242,246.5,239.15,241
28-02-00,241,248.7,237.3,245.45
29-02-00,248.9,262,225.85,228.75
01-03-00,233,241.5,225,236.2
02-03-00,239,241.4,223,226
03-03-00,223,227.9,207.95,208.2
06-03-00,214.7,224,203.15,212.1
07-03-00,212.1,213.5,202.5,207.5
08-03-00,209,209,190.9,191.45
09-03-00,191.5,194,176.15,178.9
10-03-00,180.9,180.9,168.15,170.4
13-03-00,173.25,179,163,164.35
14-03-00,168.5,177.5,161.1,177.5
15-03-00,177.6,191,175,186.5
16-03-00,185.9,201.45,182.5,199.7
21-03-00,203.9,215.6,198.3,212.9
22-03-00,214.7,217.5,206.85,212.1
23-03-00,210,211.75,197.25,200.4
24-03-00,199,201.5,194.35,197.25
27-03-00,198,202,189.1,193.1
28-03-00,191.5,203.9,186.8,200.35
29-03-00,204.9,206.4,195,197.55
30-03-00,199,204.5,185.35,200.5
31-03-00,198,209.8,192.2,204.75
03-04-00,205,219.65,205,213.3
04-04-00,210.55,211.5,196.25,196.35
05-04-00,197,203,187.5,196.2
06-04-00,198,206.4,194.3,203.9
07-04-00,204,219.5,204,218.1
10-04-00,219.25,231.5,210.35,221.3
11-04-00,218,223.9,209.15,220.75
12-04-00,220,226.5,215.9,217.95
13-04-00,215.5,215.5,203.2,204.85
17-04-00,202.25,202.25,188.6,197.3
18-04-00,198.9,204,198,201
19-04-00,206,208.95,196.25,202.75
20-04-00,199.8,204.95,195.1,203.45
24-04-00,203,205.4,199.1,201.2
25-04-00,199,202,193.6,200.7
26-04-00,207,216.45,203.5,215.1
27-04-00,212,214.85,205.15,206.7
28-04-00,206.5,209.45,203.3,206.45
02-05-00,207,207.9,193.7,195.75
03-05-00,197,198,185,196.6
04-05-00,198.8,204.7,194.1,203.1
05-05-00,204.9,207.9,200,201.4
08-05-00,202.5,202.5,197.65,198.4
09-05-00,196.6,198.15,193,197.15
10-05-00,197,202,196.5,197.65
11-05-00,195,195.5,186.1,189.5
12-05-00,192.9,192.9,185.75,187.1
15-05-00,185.35,189.8,182.3,188.6
16-05-00,188.85,189.5,186,188.25
17-05-00,191,193,188.25,190.15
18-05-00,192,192,183.1,184.3
19-05-00,186.5,188,182.7,185.3
22-05-00,183.5,184.5,180,182.8
23-05-00,182.1,183.6,176.15,180.4
24-05-00,180.5,181.25,166.1,180.6
25-05-00,181.95,185.9,180.5,184.3
26-05-00,183.15,188.9,182.5,187.8
29-05-00,187.95,196.7,187.95,192.5
30-05-00,193.85,201,193,198.6
31-05-00,205,207,199.6,203.8
01-06-00,203.5,203.5,198.1,199.3
02-06-00,200.95,203.65,200.05,202.05
05-06-00,203.5,216.4,203.5,205.8
06-06-00,206,211.25,204,209
07-06-00,210.45,211.4,206.1,208.85
08-06-00,209.5,225.4,208.55,220.2
09-06-00,222,230.4,218.4,223
12-06-00,223.1,226.8,217.5,218.2
13-06-00,217.5,219.7,215.55,217.75
14-06-00,219.2,224.9,218,220.7
15-06-00,220.25,227.3,218.1,223.15
16-06-00,224.45,235.95,223.5,233.6
19-06-00,236.45,237.7,229.4,231.35
20-06-00,233,238.85,230.5,237.2
21-06-00,239,239.45,224.4,225.3
22-06-00,224.45,232,222.5,230.5
23-06-00,233.35,248.95,233.35,236.6
26-06-00,235,239,224.6,227.8
27-06-00,228,234.3,226.25,227.05
28-06-00,228,231.45,225.3,228.5
29-06-00,230,234,228.5,230.05
30-06-00,227.55,233,226,227.4
03-07-00,229.8,232.9,228,230.65
04-07-00,232,235.85,231.05,233.2
05-07-00,236,236,231.7,232.6
06-07-00,231,232.5,227.55,229
07-07-00,231,235,229.6,231.95
10-07-00,232.8,234,226.25,228.7
11-07-00,227,231.9,226.5,230.7
12-07-00,232,233.35,228.5,230.1
13-07-00,231,235.25,225,229.4
14-07-00,228,230.4,224.5,225.65
17-07-00,225,228.5,222.6,224
18-07-00,223,235,223,230.4
19-07-00,230.5,232.65,221.25,223.25
20-07-00,223.4,224.9,217.75,219.85
21-07-00,221,222,217.1,218
24-07-00,216.5,216.5,198.55,200.05
25-07-00,197,205.7,189,202.5
26-07-00,205,205,193,194.65
27-07-00,193.75,198.9,190.1,197.65
28-07-00,199.3,207.8,198,205.85
31-07-00,203.4,205.5,199.5,200.65
01-08-00,201.5,203,197.25,199.95
02-08-00,198,203.75,197.25,203.05
03-08-00,203.8,209,199.5,200.55
04-08-00,201,204.45,199.35,201.9
07-08-00,202.9,204,199.6,200.7
08-08-00,201.8,204.5,201.5,203.3
09-08-00,205,205,202.5,203
10-08-00,203.5,203.95,200.1,200.75
11-08-00,200.2,201,195.2,199.5
14-08-00,199,201,196,199.3
16-08-00,202,204,200.5,201.45
17-08-00,203,203,196.3,197.55
18-08-00,196.55,197.5,192.65,196.85
21-08-00,198,198.65,196.4,197.45
22-08-00,198,199.3,195.65,197.75
23-08-00,200,201.4,198.5,199.7
24-08-00,200.5,200.5,195.5,199.3
25-08-00,198.1,200.5,197.3,198.55
28-08-00,197.1,199.9,197.1,199.6
29-08-00,199.6,201.5,198,199.25
30-08-00,199.5,204.45,199.5,200.7
31-08-00,200.85,201.5,196.6,198.45
04-09-00,199.9,204.25,198.4,201.7
05-09-00,203.45,207.5,201.3,205.15
06-09-00,207,210.85,206.05,208.7
07-09-00,207,210.25,207,208.15
08-09-00,208.9,214.45,208.9,212.75
11-09-00,214.85,217,212.25,212.85
12-09-00,213.9,214.4,211.3,212.75
13-09-00,212.7,213.4,205.3,205.9
14-09-00,206.3,208.5,203,204.2
15-09-00,204,204.7,198.65,199.75
18-09-00,198.55,198.55,195.15,195.75
19-09-00,195.15,196,188.25,190.85
20-09-00,199,199,190.6,193.75
21-09-00,193,194.5,191.6,192.25
22-09-00,191,191,181,183.05
25-09-00,185,192,184.1,186.55
26-09-00,189,189,181.3,182.1
27-09-00,182.5,182.5,178,180.55
28-09-00,181.25,181.5,176.5,176.9
29-09-00,177.5,178.8,176,177.45
03-10-00,175.5,177,170.65,172.15
04-10-00,173,175.7,172,174.25
05-10-00,174.65,175.2,171.5,172.05
06-10-00,171.15,172.8,169.65,171.5
09-10-00,171.5,175.2,171,172.45
10-10-00,173.1,174.15,171,172
11-10-00,170.9,171.9,165.25,168.1
12-10-00,166.6,169.9,166.55,168.3
13-10-00,167.15,168.5,165.1,165.55
16-10-00,169.5,172.9,165.2,166.2
17-10-00,165.15,165.9,159.5,161.4
18-10-00,161,162,157.4,158.95
19-10-00,159,161.25,156.5,159.35
20-10-00,161.2,165.5,160,161.05
23-10-00,158.1,160,155.8,156.55
24-10-00,155.5,157.4,155,155.75
25-10-00,157,159.85,156.15,157.2
26-10-00,155.15,159.3,155.05,159
27-10-00,159.75,160.5,157.65,158.55
30-10-00,159.5,159.7,156.7,157.05
31-10-00,158.95,164.5,158.95,163.25
01-11-00,166,176.35,165.5,173.55
02-11-00,173.4,175.9,171.1,172.5
03-11-00,172.6,179.45,172.6,174.8
06-11-00,176,180.6,173.3,174.15
07-11-00,173,175.4,172.75,173.55
08-11-00,175.1,178.8,174.95,175.15
09-11-00,174.75,175.85,172.5,173.35
10-11-00,173,174.45,168.5,168.9
13-11-00,167.1,167.1,164.3,165.1
14-11-00,165.2,169.9,164.3,168.65
15-11-00,174.75,177.9,170.5,172.9
16-11-00,174,176.2,171.3,173.9
17-11-00,174.2,174.2,166.05,169.05
20-11-00,167.1,170.3,166.6,169
21-11-00,168,169,166.25,167.45
22-11-00,167.5,171.4,167.5,168.7
23-11-00,167.55,169.35,167.05,168
24-11-00,168,171.2,168,169.4
27-11-00,170.45,179.95,169.1,178.15
28-11-00,177.05,191.9,177.05,186.95
29-11-00,186.1,189.5,178.55,180.55
30-11-00,180.7,184.55,180.2,182.45
01-12-00,181.1,190.8,180.5,188.4
04-12-00,190,203,188.55,194.75
05-12-00,195.7,196.75,193.1,194
06-12-00,199,199,190,191.15
07-12-00,189.1,194.2,189.1,192.3
08-12-00,193.45,201,193.45,196.9
11-12-00,199,199.5,194.3,196.55
12-12-00,196.05,198.1,192.1,192.85
13-12-00,194,200,193.7,199.2
14-12-00,200.4,205.4,197,198.1
15-12-00,197.3,198.3,190.5,191.7
18-12-00,190,192,187.1,190.65
19-12-00,191.5,198.4,191.5,196.55
20-12-00,195.2,200.8,193.6,196.5
21-12-00,196.15,196.15,191.85,193.35
22-12-00,194.5,196,186,187.65
26-12-00,189.9,190.7,181,183.25
27-12-00,182.95,185.5,180,183.2
28-12-00,185.9,189.5,185.1,188.3
29-12-00,189.5,193.5,187.25,192.65
01-01-01,193.55,197.8,191.1,195
02-01-01,197.6,209,195.15,205.8
03-01-01,206,220.45,205.1,217.3
04-01-01,218.4,221,209.25,212.65
05-01-01,212.7,218.4,210.65,214.95
08-01-01,213,217.7,211.25,212.75
09-01-01,212.25,214.9,208.4,209.45
10-01-01,210.5,221.75,210,216.75
11-01-01,217.5,219.4,213.6,215.75
12-01-01,217.5,224.4,216,220.85
15-01-01,222.8,225.9,218.7,220.7
16-01-01,222.4,223.9,218,222.2
17-01-01,223,223,216.6,218
18-01-01,216.6,220.4,214.1,218.8
19-01-01,219.95,220.7,218,219.6
22-01-01,220.7,224.05,219.25,219.9
23-01-01,220.6,236,220,227.2
24-01-01,232,232,224.35,226.05
25-01-01,227.2,236.5,227.05,234.15
29-01-01,233,233,220,229
30-01-01,230.75,231.5,228,230.1
31-01-01,229,237,225.1,230.5
01-02-01,229.1,234.85,225.7,228.15
02-02-01,225.4,236.5,225.25,234.5
